model,lead_group,stratum_type,stratum,n,coverage68,wilson68_lo,wilson68_hi,coverage90,wilson90_lo,wilson90_hi,truth
gfs_seamless,4-7,all,all cases,1764,0.6882086167800453,0.6662024969279139,0.7093967948887767,0.9002267573696145,0.8853596158804667,0.9133545408140623,grid
gfs_seamless,4-7,forecast_bin,f = 0,908,0.973568281938326,0.9609717833726615,0.9821746283457767,1.0,0.9957871416748161,1.0,grid
gfs_seamless,4-7,forecast_bin,0 < f < 10,480,0.4583333333333333,0.4142659432808473,0.5030623483201139,0.9291666666666667,0.90264748268255,0.9488711138275491,grid
gfs_seamless,4-7,forecast_bin,f >= 10,376,0.2925531914893617,0.24885254941402746,0.3404497861987066,0.6223404255319149,0.5723333577587273,0.6698729571363271,grid
gfs_seamless,4-7,city_group,Centre-south,924,0.6082251082251082,0.576364290195902,0.6391897768115599,0.8841991341991342,0.8619577884090363,0.9032591494674532,grid
gfs_seamless,4-7,city_group,Coquimbo coast,168,0.7619047619047619,0.6921003992148712,0.8199995362307905,0.9166666666666666,0.8649917776341215,0.9497126651203401,grid
gfs_seamless,4-7,city_group,Coquimbo interior,588,0.7755102040816326,0.7400590848958681,0.8073848211333372,0.9217687074829932,0.8972241347799391,0.9408381411166221,grid
icon_seamless,all,all,all cases,2646,0.6798941798941799,0.6618689124681072,0.6973978643457452,0.9006046863189721,0.8886174469813277,0.9114304173520413,grid
icon_seamless,all,forecast_bin,f = 0,1146,0.9921465968586387,0.985141953051344,0.9958628552962815,0.9991273996509599,0.9950738221653286,0.9998459480028306,grid
icon_seamless,all,forecast_bin,0 < f < 10,672,0.6398809523809523,0.6028863303290002,0.6752854176889325,0.9672619047619048,0.9509296015738723,0.9782824077626268,grid
icon_seamless,all,forecast_bin,f >= 10,828,0.28019323671497587,0.25067283252048517,0.31174378411518205,0.7101449275362319,0.6783279105684449,0.7400210383622908,grid
icon_seamless,all,city_group,Centre-south,1386,0.6053391053391053,0.5793496317136018,0.630746273926625,0.9004329004329005,0.8835456545737215,0.9151065894696069,grid
icon_seamless,all,city_group,Coquimbo coast,252,0.7658730158730159,0.709839612571467,0.8139222538044306,0.9087301587301587,0.8667740516662323,0.938412101120595,grid
icon_seamless,all,city_group,Coquimbo interior,882,0.7585034013605442,0.7291760016652392,0.7855887967399623,0.9002267573696145,0.8786792772660609,0.9183030641244486,grid
icon_seamless,1-3,all,all cases,1323,0.6795162509448224,0.6538814398351873,0.7041115945402143,0.9002267573696145,0.8829006358710266,0.915235413399606,grid
icon_seamless,1-3,forecast_bin,f = 0,608,0.993421052631579,0.9832075086057922,0.9974386886902408,1.0,0.9937214799266465,0.9999999999999998,grid
icon_seamless,1-3,forecast_bin,0 < f < 10,328,0.5975609756097561,0.5436571799202576,0.6492060030459601,0.9634146341463414,0.9371502244054637,0.9789498946840705,grid
icon_seamless,1-3,forecast_bin,f >= 10,387,0.2558139534883721,0.2148910235077475,0.30153694055478075,0.689922480620155,0.6421631951082067,0.7339483883987159,grid
icon_seamless,1-3,city_group,Centre-south,693,0.6233766233766234,0.5867142983397644,0.6586786785283485,0.9163059163059163,0.8933220647334377,0.9346998513653997,grid
icon_seamless,1-3,city_group,Coquimbo coast,126,0.7380952380952381,0.6550979646453041,0.8070040520522543,0.8888888888888888,0.8221164237321443,0.9326502035405344,grid
icon_seamless,1-3,city_group,Coquimbo interior,441,0.7392290249433107,0.6963104616425873,0.7780158309890184,0.8775510204081632,0.843654612359121,0.9049266930736976,grid
icon_seamless,4-7,all,all cases,1323,0.6802721088435374,0.6546507435901628,0.7048496298773458,0.9009826152683296,0.8837084633751902,0.9159349249875492,grid
icon_seamless,4-7,forecast_bin,f = 0,538,0.9907063197026023,0.9784308334722863,0.9960239472492304,0.9981412639405205,0.9895474350353888,0.9996718120606964,grid
icon_seamless,4-7,forecast_bin,0 < f < 10,344,0.6802325581395349,0.6291896292133998,0.7272946162207137,0.9709302325581395,0.9473241477885308,0.984134687055443,grid
