model,lead_days,n,mean_error_mm,q05,q16,q50,q84,q95,width68_mm,width90_mm,truth
ecmwf_ifs025,1,438,-3.1243661556860185,-23.53,-9.709333333333335,0.0,0.17699999999999963,6.221666666666646,9.886333333333335,29.751666666666647,gauge
ecmwf_ifs025,2,438,-2.8024483474668402,-22.90625,-8.916,0.0,0.2,8.719999999999999,9.116,31.62625,gauge
ecmwf_ifs025,3,438,-2.926420950206566,-26.42469,-11.227999999999998,0.0,0.9769999999999994,13.532499999999986,12.204999999999998,39.95718999999998,gauge
ecmwf_ifs025,4,438,-2.24285930637095,-31.1775,-9.899999999999999,0.0,2.215999999999996,18.158333333333328,12.115999999999994,49.335833333333326,gauge
ecmwf_ifs025,5,438,-2.455873005001087,-27.044999999999998,-10.687999999999994,0.0,1.7889257142857113,19.052499999999995,12.476925714285706,46.0975,gauge
ecmwf_ifs025,6,438,-2.4565579365079366,-34.045,-13.579,0.0,4.1,21.161666666666655,17.679000000000002,55.206666666666656,gauge
ecmwf_ifs025,7,438,-1.9997086214394433,-34.504999999999995,-12.370000000000001,0.0,7.6333333333333195,23.682499999999997,20.00333333333332,58.18749999999999,gauge
gfs_seamless,1,438,-0.718658393128941,-19.017499999999995,-3.216000000000002,0.0,2.0539999999999994,15.672499999999996,5.270000000000001,34.68999999999999,gauge
gfs_seamless,2,438,-0.23897802783213745,-20.602499999999996,-3.993999999999999,0.0,3.4699999999999984,16.529999999999994,7.463999999999997,37.13249999999999,gauge
gfs_seamless,3,438,-1.2079277995216349,-23.09,-4.9056,0.0,3.6079999999999997,14.404999999999982,8.5136,37.49499999999998,gauge
gfs_seamless,4,438,1.7196977712546204,-14.067499999999994,-2.6999999999999997,0.0,8.200000000000001,23.543333333333333,10.9,37.610833333333325,gauge
gfs_seamless,5,438,5.424948912807132,-8.74666666666667,-0.20000000000000004,0.0071428571428571435,16.135498666666667,38.978750000000005,16.335498666666666,47.725416666666675,gauge
gfs_seamless,6,438,5.715131561208958,-10.8575,-1.0020000000000002,0.0,17.08733333333333,38.971999999999994,18.08933333333333,49.829499999999996,gauge
gfs_seamless,7,438,6.517186355729507,-8.829999999999997,-1.1693333333333331,0.0,18.47319999999999,40.41403999999999,19.642533333333326,49.24403999999999,gauge
icon_seamless,1,438,-0.5599825940421832,-23.313164285714286,-5.56933333333333,0.0,3.1159999999999948,16.411249999999992,8.685333333333325,39.724414285714275,gauge
icon_seamless,2,438,0.18179822787562527,-20.525000000000002,-5.8039999999999985,0.0,3.8699999999999966,25.713333333333324,9.673999999999996,46.23833333333333,gauge
icon_seamless,3,438,-0.33327026527505943,-20.820000000000007,-6.723999999999998,0.0,3.8999999999999995,20.09249999999998,10.623999999999999,40.91249999999999,gauge
icon_seamless,4,438,-0.5634072515764296,-24.959999999999997,-9.631,0.0,5.846666666666666,19.651666666666657,15.477666666666666,44.61166666666665,gauge
icon_seamless,5,438,0.5046292781039358,-19.044999999999998,-5.604000000000001,0.0,7.3145333333333316,22.09375,12.918533333333333,41.13875,gauge
icon_seamless,6,438,-2.0243661556860184,-28.98166666666667,-13.016,0.0,6.03299999999999,22.57958333333331,19.04899999999999,51.56124999999998,gauge
