metric,model,lead_days,truth_a,truth_b,n,n_cities,n_dates,value_grid,value_gauge,difference,bootstrap_se,sigma,verdict,sign_flip,value_era5
bias_mm,ecmwf_ifs025,6,grid,gauge,438,21,21,-0.8105022831050226,2.4565579365079366,-3.2670602196129592,1.0144524105474386,3.2205160002034243,shifted,True,
pod,ecmwf_ifs025,6,grid,gauge,438,21,21,0.8079470198675497,0.7890625,0.018884519867549687,0.01617038858249942,1.16784576766372,robust,False,
far,ecmwf_ifs025,6,grid,gauge,438,21,21,0.28654970760233917,0.4093567251461988,-0.12280701754385964,0.030268157992405845,4.057300664766961,fragile,False,
mae_mm,ecmwf_ifs025,7,grid,gauge,438,21,21,10.55867579908676,9.574077245053273,0.9845985540334876,0.8319088082539638,1.1835414462072997,robust,False,
bias_mm,ecmwf_ifs025,7,grid,gauge,438,21,21,-1.2673515981735155,1.9997086214394433,-3.267060219612959,1.002537939420048,3.258789609002628,shifted,True,
pod,ecmwf_ifs025,7,grid,gauge,438,21,21,0.7483443708609272,0.7578125,-0.0094681291390728,0.024064537702070586,0.39344737290582293,robust,False,
far,ecmwf_ifs025,7,grid,gauge,438,21,21,0.29375,0.39375,-0.09999999999999998,0.028568166320841224,3.5003996713309307,shifted,False,
mae_mm,gfs_seamless,1,grid,gauge,438,21,21,6.107305936073059,5.096391204609698,1.0109147314633615,0.6460442370795298,1.564776331777595,robust,False,
bias_mm,gfs_seamless,1,grid,gauge,438,21,21,-2.548401826484018,0.718658393128941,-3.267060219612959,1.0059971383408697,3.247584009037167,shifted,True,
pod,gfs_seamless,1,grid,gauge,438,21,21,0.8410596026490066,0.90625,-0.06519039735099341,0.021168889006793676,3.0795379639466214,shifted,False,
far,gfs_seamless,1,grid,gauge,438,21,21,0.05223880597014925,0.13432835820895522,-0.08208955223880597,0.027300753304699225,3.0068603354133843,shifted,False,
mae_mm,gfs_seamless,2,grid,gauge,438,21,21,6.268721461187215,5.963202685366384,0.30551877582083087,0.6742856852209786,0.45309989892593594,robust,False,
bias_mm,gfs_seamless,2,grid,gauge,438,21,21,-3.028082191780822,0.23897802783213745,-3.2670602196129592,1.0273981073728893,3.179935991868822,shifted,True,
pod,gfs_seamless,2,grid,gauge,438,21,21,0.7350993377483444,0.796875,-0.06177566225165565,0.025163696027964224,2.454951855363569,shifted,False,
far,gfs_seamless,2,grid,gauge,438,21,21,0.0975609756097561,0.17073170731707318,-0.07317073170731708,0.021966505973948464,3.331013671181712,shifted,False,
mae_mm,gfs_seamless,3,grid,gauge,438,21,21,6.788356164383562,5.970009078060447,0.818347086323115,0.4828248212746174,1.6949151126131974,robust,False,
bias_mm,gfs_seamless,3,grid,gauge,438,21,21,-2.0591324200913244,1.2079277995216349,-3.2670602196129592,1.0326857778662926,3.163653736341049,shifted,True,
pod,gfs_seamless,3,grid,gauge,438,21,21,0.7682119205298014,0.8515625,-0.08335057947019864,0.036903826084800306,2.2585891034352263,shifted,False,
far,gfs_seamless,3,grid,gauge,438,21,21,0.1076923076923077,0.16153846153846155,-0.05384615384615385,0.018168725148363724,2.963672652123489,shifted,False,
mae_mm,gfs_seamless,4,grid,gauge,438,21,21,7.354337899543379,6.03318376821048,1.3211541313328983,0.5385534399336023,2.4531532683103503,shifted,False,
