model,lead_days,n,hits,misses,false_alarms,base_rate,pod,far,csi,threshold_mm,truth
best_match,6,441,190,19,47,0.47392290249433106,0.9090909090909091,0.19831223628691982,0.7421875,1.0,era5
best_match,7,441,178,31,62,0.47392290249433106,0.8516746411483254,0.25833333333333336,0.6568265682656826,1.0,era5
ecmwf_ifs025,1,441,189,20,16,0.47392290249433106,0.9043062200956937,0.07804878048780488,0.84,1.0,era5
ecmwf_ifs025,2,441,187,22,10,0.47392290249433106,0.8947368421052632,0.050761421319796954,0.8538812785388128,1.0,era5
ecmwf_ifs025,3,441,188,21,19,0.47392290249433106,0.8995215311004785,0.09178743961352658,0.8245614035087719,1.0,era5
ecmwf_ifs025,4,441,189,20,25,0.47392290249433106,0.9043062200956937,0.11682242990654206,0.8076923076923077,1.0,era5
ecmwf_ifs025,5,441,188,21,42,0.47392290249433106,0.8995215311004785,0.1826086956521739,0.749003984063745,1.0,era5
ecmwf_ifs025,6,441,192,17,48,0.47392290249433106,0.9186602870813397,0.2,0.7470817120622568,1.0,era5
ecmwf_ifs025,7,441,183,26,62,0.47392290249433106,0.8755980861244019,0.2530612244897959,0.6752767527675276,1.0,era5
gfs_seamless,1,441,174,35,6,0.47392290249433106,0.8325358851674641,0.03333333333333333,0.8093023255813954,1.0,era5
gfs_seamless,2,441,176,33,10,0.47392290249433106,0.8421052631578947,0.053763440860215055,0.8036529680365296,1.0,era5
gfs_seamless,3,441,174,35,14,0.47392290249433106,0.8325358851674641,0.07446808510638298,0.7802690582959642,1.0,era5
gfs_seamless,4,441,169,40,16,0.47392290249433106,0.8086124401913876,0.08648648648648649,0.7511111111111111,1.0,era5
gfs_seamless,5,441,155,54,19,0.47392290249433106,0.7416267942583732,0.10919540229885058,0.6798245614035088,1.0,era5
gfs_seamless,6,441,157,52,28,0.47392290249433106,0.7511961722488039,0.15135135135135136,0.6624472573839663,1.0,era5
gfs_seamless,7,441,155,54,32,0.47392290249433106,0.7416267942583732,0.1711229946524064,0.6431535269709544,1.0,era5
icon_seamless,1,441,181,28,6,0.47392290249433106,0.8660287081339713,0.03208556149732621,0.8418604651162791,1.0,era5
icon_seamless,2,441,191,18,8,0.47392290249433106,0.9138755980861244,0.04020100502512563,0.880184331797235,1.0,era5
icon_seamless,3,441,188,21,18,0.47392290249433106,0.8995215311004785,0.08737864077669903,0.8281938325991189,1.0,era5
icon_seamless,4,441,188,21,25,0.47392290249433106,0.8995215311004785,0.11737089201877934,0.8034188034188035,1.0,era5
icon_seamless,5,441,191,18,45,0.47392290249433106,0.9138755980861244,0.1906779661016949,0.7519685039370079,1.0,era5
icon_seamless,6,441,199,10,61,0.47392290249433106,0.9521531100478469,0.23461538461538461,0.737037037037037,1.0,era5
best_match,1,441,139,11,8,0.3401360544217687,0.9266666666666666,0.05442176870748299,0.879746835443038,10.0,era5
best_match,2,441,138,12,11,0.3401360544217687,0.92,0.0738255033557047,0.8571428571428571,10.0,era5
best_match,3,441,133,17,20,0.3401360544217687,0.8866666666666667,0.13071895424836602,0.7823529411764706,10.0,era5
best_match,4,441,126,24,27,0.3401360544217687,0.84,0.17647058823529413,0.711864406779661,10.0,era5
best_match,5,441,116,34,29,0.3401360544217687,0.7733333333333333,0.2,0.6480446927374302,10.0,era5
best_match,6,441,116,34,52,0.3401360544217687,0.7733333333333333,0.30952380952380953,0.5742574257425742,10.0,era5
best_match,7,441,113,37,50,0.3401360544217687,0.7533333333333333,0.3067484662576687,0.565,10.0,era5
ecmwf_ifs025,1,441,141,9,10,0.3401360544217687,0.94,0.06622516556291391,0.88125,10.0,era5
ecmwf_ifs025,2,441,136,14,12,0.3401360544217687,0.9066666666666666,0.08108108108108109,0.8395061728395061,10.0,era5
ecmwf_ifs025,3,441,137,13,16,0.3401360544217687,0.9133333333333333,0.10457516339869281,0.8253012048192772,10.0,era5
ecmwf_ifs025,4,441,119,31,25,0.3401360544217687,0.7933333333333333,0.1736111111111111,0.68,10.0,era5
ecmwf_ifs025,5,441,126,24,28,0.3401360544217687,0.84,0.18181818181818182,0.7078651685393258,10.0,era5
ecmwf_ifs025,6,441,121,29,52,0.3401360544217687,0.8066666666666666,0.30057803468208094,0.599009900990099,10.0,era5
ecmwf_ifs025,7,441,112,38,48,0.3401360544217687,0.7466666666666667,0.3,0.5656565656565656,10.0,era5
gfs_seamless,1,441,129,21,5,0.3401360544217687,0.86,0.03731343283582089,0.832258064516129,10.0,era5
gfs_seamless,2,441,114,36,9,0.3401360544217687,0.76,0.07317073170731707,0.7169811320754716,10.0,era5
gfs_seamless,3,441,121,29,9,0.3401360544217687,0.8066666666666666,0.06923076923076923,0.7610062893081762,10.0,era5
gfs_seamless,4,441,110,40,9,0.3401360544217687,0.7333333333333333,0.07563025210084033,0.6918238993710691,10.0,era5
gfs_seamless,5,441,81,69,11,0.3401360544217687,0.54,0.11956521739130435,0.5031055900621118,10.0,era5
gfs_seamless,6,441,75,75,24,0.3401360544217687,0.5,0.24242424242424243,0.43103448275862066,10.0,era5
gfs_seamless,7,441,48,102,19,0.3401360544217687,0.32,0.2835820895522388,0.28402366863905326,10.0,era5
icon_seamless,1,441,128,22,5,0.3401360544217687,0.8533333333333334,0.03759398496240601,0.8258064516129032,10.0,era5
icon_seamless,2,441,114,36,10,0.3401360544217687,0.76,0.08064516129032258,0.7125,10.0,era5
icon_seamless,3,441,120,30,11,0.3401360544217687,0.8,0.08396946564885496,0.7453416149068323,10.0,era5
icon_seamless,4,441,117,33,19,0.3401360544217687,0.78,0.13970588235294118,0.6923076923076923,10.0,era5
icon_seamless,5,441,106,44,29,0.3401360544217687,0.7066666666666667,0.21481481481481482,0.5921787709497207,10.0,era5
icon_seamless,6,441,119,31,53,0.3401360544217687,0.7933333333333333,0.3081395348837209,0.5862068965517241,10.0,era5
best_match,1,441,98,16,10,0.2585034013605442,0.8596491228070176,0.09259259259259259,0.7903225806451613,20.0,era5
best_match,2,441,99,15,14,0.2585034013605442,0.868421052631579,0.12389380530973451,0.7734375,20.0,era5
best_match,3,441,92,22,17,0.2585034013605442,0.8070175438596491,0.1559633027522936,0.7022900763358778,20.0,era5
best_match,4,441,79,35,23,0.2585034013605442,0.6929824561403509,0.22549019607843138,0.5766423357664233,20.0,era5
best_match,5,441,78,36,20,0.2585034013605442,0.6842105263157895,0.20408163265306123,0.582089552238806,20.0,era5
best_match,6,441,70,44,35,0.2585034013605442,0.6140350877192983,0.3333333333333333,0.4697986577181208,20.0,era5
best_match,7,441,64,50,45,0.2585034013605442,0.5614035087719298,0.41284403669724773,0.4025157232704403,20.0,era5
ecmwf_ifs025,1,441,103,11,11,0.2585034013605442,0.9035087719298246,0.09649122807017543,0.824,20.0,era5
ecmwf_ifs025,2,441,103,11,11,0.2585034013605442,0.9035087719298246,0.09649122807017543,0.824,20.0,era5
ecmwf_ifs025,3,441,94,20,17,0.2585034013605442,0.8245614035087719,0.15315315315315314,0.7175572519083969,20.0,era5
ecmwf_ifs025,4,441,77,37,22,0.2585034013605442,0.6754385964912281,0.2222222222222222,0.5661764705882353,20.0,era5
ecmwf_ifs025,5,441,83,31,24,0.2585034013605442,0.7280701754385965,0.22429906542056074,0.6014492753623188,20.0,era5
ecmwf_ifs025,6,441,67,47,46,0.2585034013605442,0.5877192982456141,0.40707964601769914,0.41875,20.0,era5
ecmwf_ifs025,7,441,68,46,47,0.2585034013605442,0.5964912280701754,0.40869565217391307,0.422360248447205,20.0,era5
gfs_seamless,1,441,88,26,9,0.2585034013605442,0.7719298245614035,0.09278350515463918,0.7154471544715447,20.0,era5
gfs_seamless,2,441,84,30,13,0.2585034013605442,0.7368421052631579,0.13402061855670103,0.6614173228346457,20.0,era5
