model,lead_days,n,mae_mm,k,band_half_width_mm,coverage,wilson_lo,wilson_hi,gaussian_reference,truth
gfs_seamless,4,441,7.3244897959183675,2,14.648979591836735,0.8208616780045351,0.782348461901739,0.8538332481207463,0.889459650277264,grid
gfs_seamless,5,441,10.577551020408162,1,10.577551020408162,0.7097505668934241,0.6657225657681015,0.7501559372501311,0.5750625163166379,grid
gfs_seamless,5,441,10.577551020408162,2,21.155102040816324,0.8117913832199547,0.7726757539145732,0.8455220208422589,0.889459650277264,grid
gfs_seamless,6,441,11.343537414965986,1,11.343537414965986,0.7029478458049887,0.6586948838849986,0.7436956676839941,0.5750625163166379,grid
gfs_seamless,6,441,11.343537414965986,2,22.687074829931973,0.8321995464852607,0.7944864420368538,0.8641751870676981,0.889459650277264,grid
gfs_seamless,7,441,11.606575963718821,1,11.606575963718821,0.7188208616780045,0.6751105345334243,0.7587519037504615,0.5750625163166379,grid
gfs_seamless,7,441,11.606575963718821,2,23.213151927437643,0.8253968253968254,0.7871971872933587,0.8579764903619531,0.889459650277264,grid
icon_seamless,1,441,6.331972789115646,1,6.331972789115646,0.7278911564625851,0.6845192964156732,0.767327077133866,0.5750625163166379,grid
icon_seamless,1,441,6.331972789115646,2,12.663945578231292,0.8344671201814059,0.7969206399776991,0.8662369729432662,0.889459650277264,grid
icon_seamless,2,441,7.170521541950113,1,7.170521541950113,0.7414965986394558,0.6986728310864714,0.7801494453615478,0.5750625163166379,grid
icon_seamless,2,441,7.170521541950113,2,14.341043083900226,0.8253968253968254,0.7871971872933587,0.8579764903619531,0.889459650277264,grid
icon_seamless,3,441,6.360997732426305,1,6.360997732426305,0.7301587301587301,0.686874808899427,0.7694675484665254,0.5750625163166379,grid
icon_seamless,3,441,6.360997732426305,2,12.72199546485261,0.8321995464852607,0.7944864420368538,0.8641751870676981,0.889459650277264,grid
icon_seamless,4,441,7.885714285714285,1,7.885714285714285,0.691609977324263,0.6470067370895913,0.7329038953973346,0.5750625163166379,grid
icon_seamless,4,441,7.885714285714285,2,15.77142857142857,0.8231292517006803,0.7847717684597632,0.8559059253791356,0.889459650277264,grid
icon_seamless,5,441,7.4229024943310655,1,7.4229024943310655,0.6984126984126984,0.6540159663513261,0.7393826175848397,0.5750625163166379,grid
icon_seamless,5,441,7.4229024943310655,2,14.845804988662131,0.8049886621315193,0.7654419772377224,0.8392678460698698,0.889459650277264,grid
icon_seamless,6,441,9.153514739229026,1,9.153514739229026,0.671201814058957,0.6260430866377612,0.7134036915014449,0.5750625163166379,grid
icon_seamless,6,441,9.153514739229026,2,18.307029478458052,0.8253968253968254,0.7871971872933587,0.8579764903619531,0.889459650277264,grid
best_match,1,441,3.868480725623583,1,3.868480725623583,0.7120181405895691,0.6680676412040957,0.7523068456305501,0.5750625163166379,era5
best_match,1,441,3.868480725623583,2,7.736961451247166,0.8344671201814059,0.7969206399776991,0.8662369729432662,0.889459650277264,era5
best_match,2,441,4.581859410430839,1,4.581859410430839,0.7097505668934241,0.6657225657681015,0.7501559372501311,0.5750625163166379,era5
best_match,2,441,4.581859410430839,2,9.163718820861678,0.8231292517006803,0.7847717684597632,0.8559059253791356,0.889459650277264,era5
best_match,3,441,5.686167800453515,1,5.686167800453515,0.7074829931972789,0.6633787534129156,0.7480037657889036,0.5750625163166379,era5
best_match,3,441,5.686167800453515,2,11.37233560090703,0.8231292517006803,0.7847717684597632,0.8559059253791356,0.889459650277264,era5
best_match,4,441,7.093197278911566,1,7.093197278911566,0.6938775510204082,0.6493419374060365,0.7350646788973028,0.5750625163166379,era5
best_match,4,441,7.093197278911566,2,14.186394557823132,0.8299319727891157,0.7920544905593555,0.8621111547287833,0.889459650277264,era5
best_match,5,441,7.198412698412698,1,7.198412698412698,0.6757369614512472,0.6306935323762456,0.717745213395787,0.5750625163166379,era5
best_match,5,441,7.198412698412698,2,14.396825396825395,0.81859410430839,0.7799272366873733,0.8517584895186987,0.889459650277264,era5
best_match,6,441,9.737414965986394,1,9.737414965986394,0.6802721088435374,0.6353485882498442,0.7220821251550151,0.5750625163166379,era5
best_match,6,441,9.737414965986394,2,19.47482993197279,0.81859410430839,0.7799272366873733,0.8517584895186987,0.889459650277264,era5
best_match,7,441,10.621541950113379,1,10.621541950113379,0.6689342403628118,0.6237195772552142,0.7112312170675785,0.5750625163166379,era5
best_match,7,441,10.621541950113379,2,21.243083900226758,0.7959183673469388,0.755823290185468,0.8309025978564708,0.889459650277264,era5
ecmwf_ifs025,1,441,3.661678004535148,1,3.661678004535148,0.7142857142857143,0.6704139884753499,0.7544564821757092,0.5750625163166379,era5
ecmwf_ifs025,1,441,3.661678004535148,2,7.323356009070296,0.8049886621315193,0.7654419772377224,0.8392678460698698,0.889459650277264,era5
ecmwf_ifs025,2,441,4.456916099773242,1,4.456916099773242,0.7074829931972789,0.6633787534129156,0.7480037657889036,0.5750625163166379,era5
ecmwf_ifs025,2,441,4.456916099773242,2,8.913832199546484,0.8231292517006803,0.7847717684597632,0.8559059253791356,0.889459650277264,era5
ecmwf_ifs025,3,441,5.639229024943311,1,5.639229024943311,0.7120181405895691,0.6680676412040957,0.7523068456305501,0.5750625163166379,era5
ecmwf_ifs025,3,441,5.639229024943311,2,11.278458049886622,0.8208616780045351,0.782348461901739,0.8538332481207463,0.889459650277264,era5
ecmwf_ifs025,4,441,7.290702947845805,1,7.290702947845805,0.691609977324263,0.6470067370895913,0.7329038953973346,0.5750625163166379,era5
ecmwf_ifs025,4,441,7.290702947845805,2,14.58140589569161,0.8321995464852607,0.7944864420368538,0.8641751870676981,0.889459650277264,era5
ecmwf_ifs025,5,441,7.379818594104308,1,7.379818594104308,0.691609977324263,0.6470067370895913,0.7329038953973346,0.5750625163166379,era5
ecmwf_ifs025,5,441,7.379818594104308,2,14.759637188208616,0.8117913832199547,0.7726757539145732,0.8455220208422589,0.889459650277264,era5
ecmwf_ifs025,6,441,9.841269841269842,1,9.841269841269842,0.673469387755102,0.6283677363364448,0.7155750256191744,0.5750625163166379,era5
ecmwf_ifs025,6,441,9.841269841269842,2,19.682539682539684,0.8095238095238095,0.7702625633224687,0.8434392276179501,0.889459650277264,era5
ecmwf_ifs025,7,441,10.60861678004535,1,10.60861678004535,0.671201814058957,0.6260430866377612,0.7134036915014449,0.5750625163166379,era5
